Linux 3.10.0-1127.13.1.el7.x86_64 (distr-node2) 	07/20/2022 	_x86_64_	(72 CPU)

04:42:43 PM   UID       PID   kB_rd/s   kB_wr/s kB_ccwr/s  Command
04:42:44 PM  1006    219225 641776.00  11448.00      0.00  wcc
04:42:45 PM  1006    219225 594200.00  11372.00      0.00  wcc
04:42:46 PM  1006    219225 796596.00  23644.00      0.00  wcc
04:42:47 PM  1006    219225 750200.00   7444.00      0.00  wcc
04:42:48 PM  1006    219225 860272.00   7516.00      0.00  wcc
04:42:49 PM  1006    219225 787120.00  14052.00      0.00  wcc
04:42:50 PM  1006    219225 649616.00   7984.00      0.00  wcc
04:42:51 PM  1006    219225 901052.00  19480.00      0.00  wcc

Average:     1006    219225 747604.00  12867.50      0.00  wcc
