time PM UID PID kB_rd/s kB_wr/s kB_ccwr/s Command
07:16:29 PM 1006 279210 741464.00 7516.00 0.00 wcc
07:16:30 PM 1006 279210 640816.00 15032.00 0.00 wcc
07:16:31 PM 1006 279210 686628.00 7516.00 0.00 wcc
07:16:32 PM 1006 279210 570768.00 44472.00 0.00 wcc
07:16:33 PM 1006 279210 646360.40 20372.28 0.00 wcc
07:16:34 PM 1006 279210 836996.00 7488.00 0.00 wcc
07:16:35 PM 1006 279210 1070276.00 10592.00 0.00 wcc
07:16:36 PM 1006 279210 966016.00 13168.00 0.00 wcc
07:16:37 PM 1006 279210 816908.00 15264.00 0.00 wcc
07:16:38 PM 1006 279210 824704.00 21824.00 0.00 wcc
07:16:39 PM 1006 279210 825088.00 20788.00 0.00 wcc
07:16:40 PM 1006 279210 956108.00 16952.00 0.00 wcc
07:16:41 PM 1006 279210 991328.00 16756.00 0.00 wcc
07:16:42 PM 1006 279210 708079.21 4780.20 0.00 wcc
07:16:43 PM 1006 279210 901276.00 0.00 0.00 wcc
07:16:44 PM 1006 279210 623860.00 0.00 0.00 wcc
07:16:45 PM 1006 279210 692352.00 0.00 0.00 wcc
07:16:46 PM 1006 279210 622424.00 288.00 0.00 wcc
07:16:47 PM 1006 279210 718376.00 4.00 0.00 wcc
07:16:48 PM 1006 279210 1091536.00 4.00 0.00 wcc
07:16:49 PM 1006 279210 869236.00 0.00 0.00 wcc
07:16:50 PM 1006 279210 821712.00 0.00 0.00 wcc
07:16:51 PM 1006 279210 886944.00 0.00 0.00 wcc
07:16:52 PM 1006 279210 832680.00 32.00 0.00 wcc
07:16:53 PM 1006 279210 754132.00 4700.00 0.00 wcc
07:16:54 PM 1006 279210 684364.36 3.96 0.00 wcc
07:16:55 PM 1006 279210 858832.00 40.00 0.00 wcc
07:16:56 PM 1006 279210 1066552.00 0.00 0.00 wcc
07:16:57 PM 1006 279210 742812.00 13252.00 0.00 wcc
07:16:58 PM 1006 279210 677136.00 7684.00 0.00 wcc
07:16:59 PM 1006 279210 606656.00 10760.00 0.00 wcc
07:17:00 PM 1006 279210 523608.00 6600.00 0.00 wcc
07:17:01 PM 1006 279210 742448.00 7380.00 0.00 wcc
07:17:02 PM 1006 279210 951412.00 4796.00 0.00 wcc
07:17:03 PM 1006 279210 998835.64 4562.38 0.00 wcc
07:17:04 PM 1006 279210 711808.00 3916.00 0.00 wcc
07:17:05 PM 1006 279210 944928.00 6928.00 0.00 wcc
07:17:06 PM 1006 279210 934384.00 6800.00 0.00 wcc
07:17:07 PM 1006 279210 820600.00 6728.00 0.00 wcc
07:17:08 PM 1006 279210 802912.00 4944.00 0.00 wcc
07:17:09 PM 1006 279210 865328.00 5940.00 0.00 wcc
07:17:10 PM 1006 279210 1028964.00 3580.00 0.00 wcc
07:17:11 PM 1006 279210 679220.00 2640.00 0.00 wcc
07:17:12 PM 1006 279210 765740.00 2588.00 0.00 wcc
07:17:13 PM 1006 279210 751452.00 940.00 0.00 wcc
07:17:14 PM 1006 279210 676368.32 657.43 0.00 wcc
07:17:15 PM 1006 279210 769124.00 424.00 0.00 wcc
