etime pid cpu mem rss
00:19 137974 287 2.9 15597280
00:20 137974 293 3.0 15926380
00:21 137974 299 3.0 16256644
00:22 137974 304 3.1 16585588
00:23 137974 309 3.2 16915588
00:24 137974 313 3.2 17245060
00:25 137974 317 3.3 17575588
00:26 137974 321 3.3 17906644
00:27 137974 324 3.4 18238228
00:28 137974 327 3.5 18570868
00:29 137974 352 3.5 18954652
00:30 137974 405 3.6 19420084
00:31 137974 456 3.7 19883932
00:32 137974 503 3.8 20350948
00:33 137974 547 3.9 20815852
00:34 137974 587 4.0 21276532
00:35 137974 589 4.0 21411700
00:36 137974 584 3.8 20123896
00:37 137974 580 3.8 20176140
00:38 137974 575 3.8 20228916
00:39 137974 571 3.8 20281424
00:40 137974 567 3.8 20335288
00:41 137974 563 3.8 20388656
00:42 137974 560 3.8 20441180
00:43 137974 556 3.8 20493956
00:44 137974 553 3.8 20546728
00:45 137974 550 3.9 20599240
00:47 137974 535 3.9 20652012
00:48 137974 533 3.9 20852096
00:49 137974 530 4.0 21127152
00:50 137974 528 4.0 21401680
00:51 137974 526 4.1 21679380
00:52 137974 524 4.1 21957340
00:53 137974 521 4.2 22235776
00:54 137974 519 4.2 22514004
00:55 137974 518 4.3 22791964
00:56 137974 516 4.3 23070188
00:57 137974 514 4.4 23347884
00:58 137974 512 4.4 23627168
00:59 137974 510 4.3 22866272
01:00 137974 521 4.2 22488668
01:01 137974 545 4.2 22687196
01:02 137974 568 4.3 22841372
01:03 137974 590 4.3 22972052
01:04 137974 612 4.3 23099032
01:05 137974 632 4.4 23230504
01:06 137974 652 4.4 23339532
01:07 137974 672 4.4 23507172
01:08 137974 691 4.4 23652368
01:09 137974 709 4.5 23839808
01:10 137974 727 4.5 23976552
01:11 137974 745 4.5 24096672
01:12 137974 761 4.5 24223392
01:13 137974 778 4.6 24295196
01:15 137974 783 4.6 24379672
01:16 137974 799 4.6 24453856
01:17 137974 814 4.6 24518800
01:18 137974 829 4.6 24578200
01:19 137974 843 4.6 24673504
01:20 137974 857 4.7 24910576
01:21 137974 871 4.7 25125736
01:22 137974 884 4.7 25332184
01:23 137974 897 4.8 25508800
01:24 137974 910 4.8 25613080
01:25 137974 922 4.8 25689904
01:26 137974 934 4.8 25751416
01:27 137974 946 4.8 25815304
01:28 137974 957 4.9 25871008
01:29 137974 969 4.9 25918000
01:30 137974 980 4.9 25958128
01:31 137974 991 4.9 25999576
01:32 137974 1001 4.9 26033896
01:33 137974 1012 4.9 26070856
01:34 137974 1022 4.9 26107024
01:35 137974 1032 4.9 26137648
01:36 137974 1041 4.9 26165632
01:37 137974 1051 4.9 26204968
01:38 137974 1060 4.9 26237968
01:39 137974 1069 4.9 26265688
01:40 137974 1078 4.9 26294464
01:41 137974 1087 4.9 26324296
01:42 137974 1096 4.9 26348056
01:44 137974 1093 4.9 26371288
01:45 137974 1102 5.0 26391880
01:46 137974 1110 5.0 26414320
01:47 137974 1118 5.0 26432536
01:48 137974 1126 5.0 26450224
01:49 137974 1133 5.0 26470816
01:50 137974 1141 5.0 26490088
01:51 137974 1148 5.0 26508040
01:52 137974 1156 5.0 26526520
01:53 137974 1163 5.0 26543944
01:54 137974 1170 5.0 26560312
01:55 137974 1177 5.0 26576944
01:56 137974 1183 5.0 26592784
01:57 137974 1190 5.0 26609680
01:58 137974 1197 5.0 26625256
01:59 137974 1203 5.0 26642152
02:00 137974 1209 5.0 26656144
02:01 137974 1216 5.0 26671456
02:02 137974 1222 5.0 26685184
02:03 137974 1228 5.0 26698120
02:04 137974 1234 5.0 26710792
02:05 137974 1240 5.0 26722672
02:06 137974 1245 5.0 26734552
02:07 137974 1251 5.0 26745904
02:08 137974 1256 5.0 26756200
02:09 137974 1262 5.0 26767024
02:10 137974 1267 5.0 26778376
02:11 137974 1273 5.0 26789728
02:13 137974 1268 5.0 26801080
02:14 137974 1273 5.0 26813224
02:15 137974 1278 5.0 26824312
02:16 137974 1283 5.0 26835400
02:17 137974 1285 5.0 26841736
02:18 137974 1279 5.0 26842528
02:19 137974 1273 5.0 26842528
02:20 137974 1266 4.8 25541000
02:21 137974 1260 4.8 25578200
02:22 137974 1254 4.8 25630932
02:23 137974 1248 4.8 25684200
02:24 137974 1243 4.8 25737564
02:25 137974 1237 4.8 25790076
02:26 137974 1231 4.8 25842848
02:27 137974 1226 4.9 25895356
02:28 137974 1220 4.9 25948132
02:29 137974 1215 4.9 26000904
02:30 137974 1209 4.9 26053944
02:31 137974 1204 4.9 26106980
02:32 137974 1199 4.9 26159488
02:33 137974 1194 4.9 26212264
02:34 137974 1189 4.9 26264772
02:35 137974 1184 4.9 26317548
02:36 137974 1179 4.9 26370584
02:37 137974 1174 5.0 26423356
02:38 137974 1169 5.0 26476132
02:39 137974 1164 5.0 26528640
02:40 137974 1160 5.0 26579040
02:41 137974 1155 5.0 26624424
02:43 137974 1143 5.0 26670076
02:44 137974 1139 5.0 26715724
02:45 137974 1135 5.0 26761372
02:46 137974 1130 5.0 26807020
02:47 137974 1126 5.0 26894116
02:48 137974 1122 5.1 27173400
02:49 137974 1117 5.2 27451360
02:50 137974 1113 5.2 27728264
02:51 137974 1109 5.3 28002004
02:52 137974 1105 5.3 28269140
02:53 137974 1101 5.4 28547368
02:54 137974 1097 5.4 28825592
02:55 137974 1093 5.5 29103288
02:56 137974 1089 5.5 29382040
02:57 137974 1086 5.6 29662116
02:58 137974 1082 5.6 29941132
02:59 137974 1078 5.7 30219884
03:00 137974 1074 5.7 30498220
03:01 137974 1071 5.8 30777768
03:02 137974 1067 5.8 31055992
03:03 137974 1063 5.9 31335272
03:04 137974 1060 5.9 31614552
03:05 137974 1056 6.0 31894892
03:06 137974 1053 6.0 32173380
03:07 137974 1050 6.1 32452396
03:08 137974 1046 6.2 32731676
03:09 137974 1043 6.2 33011752
03:10 137974 1046 6.2 33083024
03:11 137974 1050 6.2 33083024
03:13 137974 1050 6.2 33083024
03:14 137974 1054 6.2 33083024
03:15 137974 1059 6.2 33083024
03:16 137974 1064 6.2 33083024
03:17 137974 1068 6.2 33083024
03:18 137974 1073 6.2 33083024
03:19 137974 1077 6.2 33083024
03:20 137974 1082 6.2 33083024
03:21 137974 1086 6.2 33083032
03:22 137974 1090 6.2 33083032
03:23 137974 1095 6.2 33083032
03:24 137974 1099 6.2 33083032
03:25 137974 1103 6.2 33083032
03:26 137974 1107 6.2 33083032
03:27 137974 1111 6.2 33083032
03:28 137974 1116 6.2 33083032
03:29 137974 1120 6.2 33083032
03:30 137974 1124 6.2 33083032
03:31 137974 1128 6.2 33083032
03:32 137974 1132 6.2 33083032
03:33 137974 1135 6.2 33083032
03:34 137974 1139 6.2 33083032
03:35 137974 1143 6.2 33083032
03:36 137974 1147 6.2 33083032
03:37 137974 1151 6.2 33083032
03:38 137974 1154 6.2 33083032
03:39 137974 1158 6.2 33083032
03:40 137974 1162 6.2 33083032
03:42 137974 1160 6.2 33083032
03:43 137974 1164 6.2 33083032
03:44 137974 1167 6.2 33083032
03:45 137974 1171 6.2 33083032
03:46 137974 1174 6.2 33083032
03:47 137974 1178 6.2 33083032
03:48 137974 1181 6.2 33083032
03:49 137974 1185 6.2 33083032
03:50 137974 1188 6.2 33083032
03:51 137974 1192 6.2 33083032
03:52 137974 1195 6.2 33083032
03:53 137974 1198 6.2 33083032
03:54 137974 1201 6.2 33083032
03:55 137974 1205 6.2 33083032
03:56 137974 1208 6.2 33083032
03:57 137974 1211 6.2 33083032
03:58 137974 1214 6.2 33083032
03:59 137974 1217 6.2 33083032
04:00 137974 1221 6.2 33083032
04:01 137974 1224 6.2 33083032
04:02 137974 1227 6.2 33083032
04:03 137974 1230 6.2 33083032
04:04 137974 1233 6.2 33083032
04:05 137974 1236 6.2 33083032
04:06 137974 1239 6.2 33083032
04:07 137974 1242 6.2 33083032
04:08 137974 1244 6.2 33083032
04:10 137974 1242 6.2 33083032
04:11 137974 1245 6.2 33083032
04:12 137974 1248 6.2 33083032
04:13 137974 1251 6.2 33083032
04:14 137974 1254 6.2 33083040
04:15 137974 1256 6.2 33083040
04:16 137974 1259 6.2 33083040
04:17 137974 1262 6.2 33083040
04:18 137974 1265 6.2 33083040
04:19 137974 1267 6.2 33083040
04:20 137974 1270 6.2 33083040
04:21 137974 1273 6.2 33083040
04:22 137974 1275 6.2 33083040
04:23 137974 1278 6.2 33083040
04:24 137974 1281 6.2 33083040
04:25 137974 1283 6.2 33083040
04:26 137974 1286 6.2 33083040
04:27 137974 1288 6.2 33083040
04:28 137974 1291 6.2 33083040
04:29 137974 1293 6.2 33083040
04:30 137974 1296 6.2 33083040
04:31 137974 1298 6.2 33083040
04:32 137974 1301 6.2 33083040
04:33 137974 1303 6.2 33083040
04:34 137974 1305 6.2 33083040
04:35 137974 1308 6.2 33083040
04:36 137974 1310 6.2 33083040
04:37 137974 1313 6.2 33083040
04:39 137974 1310 6.2 33083040
04:40 137974 1313 6.2 33083040
04:41 137974 1315 6.2 33083040
04:42 137974 1317 6.2 33083040
04:43 137974 1320 6.2 33083040
04:44 137974 1322 6.2 33083040
